Year,Gender,Age,Hand,Height,Foot,Armspan,Languages,GetToSchool,TravelTime,ReactionTime,MemoryScore,Activity,Music,BirthMonth,Season,Allergies,Vegetarian,FavFood,Drink,FavSubject,Sleep1,Sleep2,Occupants,Communicate,TextsSent,HangHours,HWHours,SportsHours,VideoGameHours,ComputerHours,TVHours,WorkHours,SchoolPressure,Superpower,Preference
2018,Male,17,Right,181,26,176,1,Bus,5,0.313,43,Bowling,Rap/Hip hop,June,Fall,No,No,Meat,Soft drink (caffeinated),Computers and technology,6,9,2,Text,30,1,0,2,20,10,1,20,Very little,Freeze time,Happy
2016,Male,18,Left,187.9,25,180,1,Car,7,0.318,79,Baseball/Softball,Country,September,Summer,Yes,No,Meat,Water,Physical education,7.5,8.5,3,Text,14,27,2.5,20,1,3,40,12,Very little,Fly,Happy
2012,Male,18,Right,,26,,1,Car,13,0.374,54,Lacrosse,Country,January,Winter,Yes,No,Poultry,Tea,,8,7,4,In person,100,20,0,12,0,15,10,10,Very little,Fly,Happy
2010,Female,17,Right,152.4,23,152,1,Car,8,0.61,44,Soccer,Rap/Hip hop,July,Fall,No,No,Pizza/Pasta,Tea,Science,7,11,4,Text,800,12,0,8,1,7,9,3,Very little,Telepathy,Happy
2017,Female,17,Right,162,21,157,1,Car,10,0.413,47,Soccer,Pop,January,Fall,No,No,Meat,Water,Computers and technology,6,10,3,In person,60,10,1,13,0,10,5,7,Some,Telepathy,Happy
2011,Female,17,Right,155.9,24.7,164.8,2,Car,11,0.297,32,Cycling,Pop,August,Spring,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,5.5,10,4,Text,200,12,18,4,0,30,10,3,A lot,Telepathy,Happy
2016,Male,18,Right,170,25.4,,1,Car,5,,39,Running/Jogging,Rap/Hip hop,July,Summer,Yes,No,Salads,Water,Science,6,9,5,Text,300,13,2,8,1,10,5,20,Some,Fly,Rich
2010,Male,17,Right,185,28,178,2,Bus,15,0.556,45,Other,Other,April,Fall,Yes,No,No favorite,Water,History,6,11,3,App,10,10,20,11,0,11,7,0,A lot,Telepathy,Happy
2015,Male,16,Right,,21.5,157.5,2,Car,10,0.393,41,Tennis,Pop,May,Summer,Yes,No,No favorite,Water,Mathematics and statistics,6,6,6,Text,5,0,60,0,4,,10,0,A lot,Freeze time,Rich
2014,Female,17,Right,170,23,170,1,Car,8,0.299,41,Other,Other,July,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,12,6,Text,30,3,15,0,0,10,10,4,A lot,Freeze time,Happy
2013,Female,17,Right,162,,,1,Car,18,0.904,50,Hockey (Field),Other,August,Summer,No,Yes,Desserts,Water,Music,7,8,4,In person,20,5,7,3,2,8,4,4,Some,Telepathy,Happy
2019,Female,20,Right,165,24,171,1,Walk,15,,,Other,Pop,May,Summer,Yes,No,Salads,Water,Mathematics and statistics,7,9,3,Phone,100,10,20,3,3,5,2,0,A lot,Invisibility,Rich
2013,Female,17,Right,165,22,165,1,Car,10,0.441,48,Soccer,Country,January,Winter,No,No,Pizza/Pasta,Water,Physical education,7,9,5,Text,17,5,15,18,,6,10,,A lot,Telepathy,Happy
2018,Male,17,Right,172,23,192,1,Car,10,0.893,51,Soccer,Rap/Hip hop,January,Fall,Yes,No,Meat,Sports drink,Mathematics and statistics,7,10,4,Text,30,10,8,20,8,15,10,2,Very little,Telepathy,Rich
2010,Male,17,Right,185,31,185,1,Car,5,0.328,67,Baseball/Softball,Rap/Hip hop,May,Fall,Yes,No,Poultry,Tea,History,6.5,7,2,In person,300,40,20,25,5,60,10,24,A lot,Invisibility,Happy
2019,Female,17,Right,160,24,150,1,Car,5,0.416,39,Walking/Hiking,Rap/Hip hop,January,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,10,5,Text,50,7,8,4,0,6,0,0,A lot,Fly,Happy
2018,Female,16,Right,160,23,166,1,Car,10,0.507,58,Swimming,Pop,March,Summer,No,No,Desserts,Coffee,English,6,11,3,Text,325,18,50,0,0,75,5,10,A lot,Freeze time,Happy
2018,Male,15,Left,180,29,173,1,Car,10,0.362,42,Running/Jogging,Pop,December,Summer,Yes,No,Meat,Soft drink (caffeinated),History,5,9,4,In person,3,5,5,10,25,40,0,0,Some,Invisibility,Happy
2013,Female,17,Right,152.5,25,158,2,Car,11,0.456,40,Dancing,Other,April,Fall,Yes,No,Fruit,Water,English,7,7,5,Text,200,1,10,20,3,5,1,20,A lot,Telepathy,Rich
2012,Female,17,Right,168,24,162,1,Car,10,,,Football (American),Country,May,Spring,Yes,No,Pizza/Pasta,Water,History,6,12,7,Text,100,10,1,0,0,5,2,20,A lot,Telepathy,Happy
2017,Male,17,Left,168,26,170.5,2,Bus,10,0.465,54,Basketball,Rap/Hip hop,September,Summer,No,No,Meat,Water,Mathematics and statistics,8,5,3,Phone,25,10,15,5,25,60,0,40,A lot,Fly,Rich
2013,Male,17,Right,180,30,185,1,Car,12,0.407,51,Soccer,Rock and roll,February,Summer,Yes,No,No favorite,Soft drink (caffeinated),History,10,10,4,App,12,15,8,14,6,20,5,0,Very little,Fly,Famous
2017,Female,16,Right,156,21.5,155,1,Car,45,0.498,40,Baseball/Softball,Pop,November,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,8,3,In person,0,2,8,10,0,12,4,0,A lot,Telepathy,Happy
2014,Male,16,Right,167.6,25,,1,Bus,20,0.333,42,Football (American),Rap/Hip hop,September,Summer,No,No,Poultry,Water,History,4,8,3,Text,40,5,5,3,7,40,10,32,A lot,Telepathy,Happy
2010,Male,17,Right,182.8,26.1,184,1,Bus,30,0.406,49,Other,Rock and roll,August,Winter,No,No,Fruit,Water,Science,7.5,10,4,App,0,3,15,1,1,14,12,0,Some,Invisibility,Happy
2014,Female,18,Right,164,23,140,1,Bus,20,0.435,50,Other,Punk rock,December,Spring,No,No,Meat,Water,Music,7,8,7,Text,100,6,4,2,1,3,8,6,Some,Telepathy,Happy
2017,Male,17,Left,185,29,192,2,Car,10,0.317,51,Baseball/Softball,Rock and roll,December,Summer,Yes,No,Meat,Water,Mathematics and statistics,7,8,1,Text,100,25,1,24,1,9,3,4,Some,Fly,Rich
2016,Male,17,Right,185.4,28,189.2,1,Car,10,0.313,,None,Punk rock,April,,No,No,Meat,Energy drink,Science,7,9,3,App,76,2,10,0,0,10,0,0,A lot,Invisibility,Happy
2013,Male,17,Right,182.5,27.9,180.3,2,Car,10,0.358,48,Football (American),Rap/Hip hop,February,Fall,No,No,Meat,Water,Science,7,11,4,Text,200,5,12,5,2,4,3,16,Some,Telepathy,Happy
2015,Male,17,Right,171,26,171,2,Car,10,0.406,41,Tennis,Techno/Electronic,September,Fall,No,No,Meat,Water,Mathematics and statistics,6.5,10.5,3,App,9,5,20,6,1,35,2,1,Very little,Invisibility,Happy
2017,Female,18,Right,165,24.5,169,2,Car,20,0.458,55,Soccer,Other,October,Fall,Yes,No,Desserts,Water,Languages,8,8,3,In person,9,13,42,4,0,35,14,12,Some,Invisibility,Happy
2016,Male,16,Both,182,30,175,2,Car,5,,,Hockey (Ice),Rap/Hip hop,March,Winter,No,No,Meat,Juice,Physical education,8,9,3,Text,100,8,9,10,10,3,1,0,A lot,Freeze time,Rich
2019,Male,17,Right,185.4,28.6,184,3,Car,10,0.548,42,Swimming,Gospel,July,Spring,Yes,No,Pizza/Pasta,Water,Music,8,10,4,Text,5,5,2,1,5,7,2,9,Some,Telepathy,Healthy
2016,Female,17,Left,175,,,1,Car,2,0.36,49,Soccer,Country,April,Winter,Yes,No,Fruit,Water,Science,6,8,4,Text,25,10,6,2,0,10,10,13,A lot,Telepathy,Healthy
2019,Female,17,Right,173,28,170,1,Bus,10,0.353,41,Other,Pop,October,Fall,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Music,6,9,3,Text,8,50,3,20,7,15,30,9,Some,Fly,Happy
2014,Male,16,Right,171,25,174,1,Bus,22,0.289,52,Football (American),Punk rock,November,Fall,No,No,Meat,Water,History,7,10,4,Text,40,14,7,6,6,4,10,17,A lot,Invisibility,Happy
2011,Female,17,Right,157,22,152,4,Car,15,0.322,34,Other,Pop,January,Fall,No,No,Other,Water,Art,6,7,4,App,50,0,25,6,1,19,2,3,A lot,Freeze time,Happy
2019,Female,17,Left,176,24,188,1,Car,10,0.33,42,Basketball,Rap/Hip hop,November,Summer,No,No,Fruit,Water,Science,9,9,4,,20,12,8,14,0,5,3,8,Some,Fly,Happy
2016,Female,17,Right,163,24,166,1,Car,15,0.288,,Other,Pop,November,Summer,No,No,Rice/Noodle dishes,Water,Other,8,11,4,Text,200,20,8,12,1,20,14,0,Some,Freeze time,Happy
2015,Male,16,Right,180.3,25,132,2,Bus,8,0.321,40,Martial Arts,Classical,July,Fall,No,No,No favorite,Water,Computers and technology,4,6,2,App,0,0,4,0,4,10,0,0,A lot,Telepathy,Rich
2013,Female,17,Right,176,28,170,1,Bus,15,0.327,38,Other,Other,February,Summer,Yes,Yes,Pizza/Pasta,Water,Art,5,10,5,In person,20,10,10,10,3,10,8,14,A lot,Freeze time,Happy
2011,Female,17,Right,160,20,150,2,Bus,10,0.594,61,Martial Arts,Pop,April,Winter,Yes,No,Poultry,Water,Other,6,10,5,App,400,1,30,0,,50,1,0,A lot,Telepathy,Happy
2014,Male,16,Right,184,27,185,1,Bus,20,0.485,54,Soccer,Rock and roll,December,Winter,Yes,No,Meat,Water,Computers and technology,7.5,11,5,Text,2,40,0,10,5,8,6,0,Very little,Freeze time,Rich
2010,Male,17,Right,179,28,187,2,Bus,35,0.281,29,Basketball,Rap/Hip hop,July,Summer,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,8,9,4,Text,100,50,12,20,4,20,12,3,Very little,Fly,Famous
2010,Male,17,Right,178,27,183,2,Car,5,0.282,52,Swimming,Other,August,Summer,Yes,No,Meat,Water,Social studies,,9,2,In person,8,13,25,10,5,25,5,0,A lot,Freeze time,Happy
2015,Male,17,Left,178,27,178,1,Car,12,0.242,41,Athletics,Other,August,Spring,No,No,Pizza/Pasta,Water,Science,7.5,8.5,4,In person,16,5,10,12,0,10,5,0,Some,Fly,Happy
2013,Female,18,Right,165,24,166,2,Car,20,0.739,43,Tennis,Rap/Hip hop,December,Fall,No,No,Meat,Water,Art,7,10,3,App,20,5,10,12,0,48,2,0,Some,Telepathy,Happy
2016,Female,18,Right,154,20,140,1,Car,5,0.343,38,Basketball,Rap/Hip hop,August,Fall,No,No,Rice/Noodle dishes,Water,Art,6,9,4,Text,300,20,0.5,3,0,40,3,0,None,Telepathy,Happy
2012,Female,17,Right,175,23,174,1,Walk,4,0.8,50,Swimming,Techno/Electronic,May,Fall,No,No,Rice/Noodle dishes,Water,Music,8,7,2,In person,18,45,10,2,7,40,4,0,A lot,Invisibility,Happy
2015,Male,18,Both,167.6,25.4,187,1,Car,20,0.337,40,Other,Classical,January,Fall,Yes,No,Meat,Sports drink,Music,6,10,5,App,30,7,1,14,0,14,0,0,Very little,Freeze time,Happy
2015,Female,18,Right,178,27,172,1,Car,10,0.444,41,Other,Other,July,Winter,Yes,No,Rice/Noodle dishes,Tea,English,7,10,4,In person,100,10,10,3,2,30,2,15,Very little,Fly,Happy
2017,Male,17,Right,129,,200,1,Walk,20,0.357,,Hockey (Ice),Heavy metal,December,Winter,No,No,Seafood,Sports drink,Science,7,9,12,In person,2,10,2,12,1,6,1,15,Very little,Freeze time,Happy
2017,Male,17,Left,173.6,24,179.4,1,Car,5,0.321,67,Baseball/Softball,Rap/Hip hop,January,Fall,Yes,No,Pizza/Pasta,Water,Physical education,6,9,3,Text,100,4,3,2,7,5,3,18,Some,Invisibility,Happy
2016,Male,17,Right,184,27,182,1,Car,9,0.215,45,Baseball/Softball,Pop,April,Summer,Yes,No,Poultry,Sports drink,Mathematics and statistics,7,9,3,Text,150,8,10,5,1,40,50,25,A lot,Invisibility,Happy
2012,Female,17,Right,162,22,157,2,Car,6,0.439,40,Other,Other,March,Summer,Yes,No,Other,Water,English,6,11,3,Text,500,15,5,0,0,10,10,0,A lot,Fly,Happy
2014,Male,17,Right,175,28.8,,1,Car,7,0.285,40,Basketball,Country,June,Summer,No,No,Pizza/Pasta,Water,Social studies,8,9,3,In person,50,6,1,18,0,12,8,2,None,Freeze time,Happy
2017,Male,17,Right,193,26,193,1,Car,8,0.375,30,Other,Rap/Hip hop,November,Summer,No,No,Meat,Coffee,Mathematics and statistics,6,9,4,Text,50,20,5,10,0,7,0,0,None,Freeze time,Happy
2013,Male,18,Right,188,27,188,1,Bus,10,0.29,54,Other,Punk rock,August,Summer,Yes,No,Pizza/Pasta,Juice,Music,7,10,4,Text,50,20,3,1,1,8,2,15,Very little,Fly,Famous
2018,Male,18,Right,185,28,210,2,Car,11,0.364,38,Football (American),Rock and roll,July,Fall,Yes,No,Seafood,Water,History,7,8,4,Text,60,4,6,28,7,10,5,0,Some,Freeze time,Happy
2019,Female,17,Right,170,25,158,1,Car,8,0.389,39,Other,Rap/Hip hop,July,Summer,No,No,Rice/Noodle dishes,Water,Science,6,8,3,Text,40,6,11,2,1,10,2,0,A lot,Telepathy,Rich
2019,Female,18,Right,164,22,159,1,Car,10,0.378,54,Other,Rap/Hip hop,September,Fall,No,No,Fruit,Water,English,6,8,4,In person,30,15,10,17,0,40,8,15,A lot,Telepathy,Happy
2016,Female,17,Right,187,28.3,167,1,Car,8,,,None,Country,November,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,5,10,3,Text,300,0,15,0,0,5,1,0,A lot,Fly,Rich
2017,Female,17,Right,173,23,173,2,Car,10,0.346,44,Other,Pop,October,Fall,Yes,No,No favorite,Water,Science,5,8,3,In person,59,4,18,12,0,16,2,24,A lot,Freeze time,Happy
2017,Male,17,Right,178,27,186,1,Car,15,0.348,40,Soccer,Rap/Hip hop,November,Winter,Yes,No,Seafood,Water,Other,7,12,3,Text,100,10,25,15,1,10,0,10,A lot,Fly,Rich
2018,Female,17,Right,166,20,160,1,Car,7,,41,Other,Rap/Hip hop,July,Fall,No,No,Pizza/Pasta,Water,Music,5,10,4,Text,13,10,18,3,1,3,2,15,A lot,Invisibility,Happy
2017,Male,18,Right,177,25,177,2,Car,15,0.335,59,Soccer,Jazz,July,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,8,4,In person,40,20,15,12,5,2,0,0,Some,Fly,Happy
2017,Female,17,Right,150,21,147,2,Car,12,0.549,38,Other,Pop,December,Fall,Yes,No,Rice/Noodle dishes,Water,Social studies,7,6.5,5,Text,20,3,15,10,0,12,5,0,Some,Telepathy,Happy
2010,Female,18,Right,156,23,155,1,Car,15,0.339,,Other,Other,February,Summer,No,No,Salads,Water,Physical education,8,9,3,Phone,50,10,3,6,1,3,4,0,Some,Invisibility,Happy
2015,Female,17,Right,168,24,167,1,Car,15,0.309,47,Tennis,Pop,April,Summer,No,No,Seafood,Water,Physical education,6,10,6,Phone,250,6,4,11,0,1,0,22,Some,Invisibility,Healthy
2018,Female,17,Right,165.1,24.5,167,2,Car,3,0.359,46,Lacrosse,Country,October,Fall,No,No,Breads/Sandwiches,Water,Computers and technology,8,4,6,Text,50,35,5,15,1,40,20,15,Very little,Telepathy,Rich
2017,Male,17,Right,181,28,195,1,Car,15,0.311,42,Basketball,Rap/Hip hop,April,Fall,Yes,No,Pizza/Pasta,Water,History,6,10,4,In person,30,20,8,14,10,5,14,0,Very little,Freeze time,Rich
2015,Male,17,Right,173,28,169,2,Car,5,0.309,35,Dancing,Rap/Hip hop,February,Winter,Yes,No,Meat,Other,Other,3,9,4,App,500,3,50,0,5,14,4,0,Some,Freeze time,Rich
2017,Female,17,Right,167.6,22.9,,2,Car,20,0.448,37,Tennis,Other,February,Spring,No,No,Pizza/Pasta,Water,Art,6,10,4,In person,30,15,20,15,0,10,5,3,A lot,Freeze time,Happy
2019,Female,17,Right,169,23,163,1,Car,12,0.462,43,Gymnastics,Pop,November,Summer,No,No,Desserts,Water,Mathematics and statistics,6,7,5,Text,50,10,8,28,0,0,6,0,A lot,Telepathy,Happy
2018,Male,18,Right,188,30,190,1,Car,15,0.714,50,Other,Rap/Hip hop,April,Summer,No,No,Meat,Water,Computers and technology,4,8,4,Text,500,50,3,2,10,2,1,25,A lot,Freeze time,Rich
2019,Female,21,Right,157,20,157,1,Walk,15,0.46,34,Bowling,Rock and roll,March,Fall,Yes,No,Seafood,Water,Mathematics and statistics,8,10,5,Text,18,40,13,4,2,66,14,0,A lot,Freeze time,Happy
2013,Female,17,Right,162.5,23,158,1,Bus,20,0.415,52,Tennis,Rock and roll,December,Winter,Yes,No,Meat,Tea,Art,6,11,3,In person,0,49,3,24,14,21,0,0,Some,Freeze time,Happy
2014,Female,17,Right,162.5,23.5,,2,Bus,20,0.52,51,None,Other,February,Summer,Yes,No,Breads/Sandwiches,Juice,History,7,10,4,In person,250,5,10,0,0,6,25,0,Some,Invisibility,Happy
2018,Female,17,Right,159,24,161,2,Car,10,0.399,42,Hockey (Field),Pop,May,Fall,No,No,Poultry,Water,Science,6.5,8,4,App,100,10,6,10,1,15,9,19,A lot,Telepathy,Happy
2013,Male,18,Right,,25,179,1,Car,13,0.297,45,Football (American),Rap/Hip hop,October,Summer,Yes,No,Pizza/Pasta,Water,,9,10,2,Phone,300,5,6,4,6,5,5,25,Some,Fly,Happy
2017,Female,17,Right,157,22,161,1,Car,15,0.587,33,Running/Jogging,Rap/Hip hop,October,Summer,Yes,No,Breads/Sandwiches,Water,History,8,9,4,In person,50,12,10,7,0,5,2,4,Some,Fly,Happy
2013,Male,17,Right,168,25.4,180,2,Bus,25,0.369,38,Basketball,Rock and roll,May,Spring,No,No,Poultry,Powdered drink,History,7,10,5,App,77,8,2,10,10,2,12,0,Some,Fly,Rich
2016,Female,17,Right,196,23.5,,2,Bus,15,0.32,,Other,Rap/Hip hop,May,Fall,Yes,No,Meat,Juice,Art,7,9,5,Text,300,3,10,0,0,40,5,7,A lot,Fly,Happy
2015,Female,17,Right,173,24,175,2,Car,8,0.403,32,Other,Techno/Electronic,January,Fall,Yes,No,Rice/Noodle dishes,Tea,Science,7,9,6,Text,150,5,9,12,1,5,2,0,A lot,Freeze time,Happy
2013,Male,16,Right,178,25,181.6,2,Bus,30,0.48,49,Other,Punk rock,May,Summer,No,No,No favorite,Water,Computers and technology,7,10,4,Text,250,10,4,3,2,27,1,4,Some,Fly,Happy
2010,Female,18,Right,166,23,167,1,Car,40,0.516,53,Cycling,Other,November,Winter,No,No,Rice/Noodle dishes,Tea,Art,8,13,6,In person,5,20,5,5,0,2,3,4,A lot,Invisibility,Happy
2019,Female,17,Right,154,21,152,1,Car,15,0.428,42,Other,Pop,March,Fall,Yes,Yes,Other,Water,Physical education,7.5,9,4,Text,,,,,0,50,25,0,A lot,Super strength,Happy
2018,Female,16,Right,158,23,157,1,Car,7,0.355,41,Swimming,Rap/Hip hop,October,Fall,No,No,Breads/Sandwiches,Water,Music,7,9,5,Phone,30,10,15,24,0,6,10,12,A lot,Fly,Rich
2010,Male,18,Right,177,26,179,1,Car,6,,31,Basketball,Punk rock,July,Summer,No,No,Rice/Noodle dishes,Other,Other,8,4,5,Text,1000,0,,24,24,1,5,1,A lot,Freeze time,Rich
2012,Female,17,Right,161,23.5,157,1,Car,12,0.374,35,Baseball/Softball,Country,June,Summer,Yes,No,Breads/Sandwiches,Tea,Science,6,9,6,Phone,50,20,2,12,1,2,15,15,Some,Fly,Happy
2016,Female,17,Right,167,20.32,120,1,Car,4,0.583,60,Dancing,Pop,April,Fall,Yes,No,Meat,Juice,Art,9,7,3,Text,50,10,1,5,0,12,8,15,A lot,Telepathy,Happy
2013,Male,16,Right,188,27,188,1,Bus,12,0.422,54,Soccer,Techno/Electronic,April,Summer,Yes,No,Meat,Soft drink (caffeinated),Science,7.5,9,4,App,5,5,8,3,5,3,2,0,Some,Super strength,Rich
2015,Female,17,Right,,21,,2,Car,7,0.332,42,Golf,Rap/Hip hop,March,Summer,Yes,No,Rice/Noodle dishes,Water,Art,8,9,5,Text,50,30,5,10,0,4,10,0,Very little,Fly,Famous
2014,Male,16,Right,198,26,176.5,1,Car,8,0.265,36,Soccer,Pop,January,Summer,No,No,Meat,Water,Mathematics and statistics,6.5,8,3,Text,100,5,12,12,2,2,3,0,Some,Freeze time,Rich
2016,Male,17,Right,165.1,22,165.6,2,Bus,15,0.321,37,Walking/Hiking,Classical,March,Winter,No,No,Vegetables,Tea,Mathematics and statistics,5,9,3,Text,34,5,9,1,22,,0,0,A lot,Freeze time,Happy
2014,Male,17,Right,184.1,27.94,184.1,1,Car,8,0.269,52,Other,Other,April,Winter,Yes,No,No favorite,Milk,Computers and technology,6,10,3,App,0,7,7,0,28,28,7,0,Some,Freeze time,Happy
2015,Female,16,Right,158,22,159,1,Car,5,0.425,56,Running/Jogging,Pop,June,Summer,Yes,No,Pizza/Pasta,Water,English,7,9,4,Text,150,6,9,5,1,0,4,15,A lot,Freeze time,Happy
2012,Female,17,Right,169,25,178,3,Bus,20,0.295,43,Dancing,Other,December,Spring,No,Yes,Other,Milk,Science,6.5,9.5,4,App,0,1,32,0,0,10,15,0,A lot,Fly,Happy
2019,Male,21,Right,188,28.6,188,1,Walk,12,0.372,40,Swimming,Pop,January,Fall,No,No,Meat,Tea,Mathematics and statistics,7,10,4,Text,100,,,,,,,,A lot,Fly,Rich
2013,Male,16,Right,180,26,185,2,Bus,21,0.328,46,Tennis,Other,March,,No,No,No favorite,Water,Mathematics and statistics,7,10,4,App,0,2,13,5,1,3,1,0,A lot,Invisibility,Happy
2018,Female,17,Right,164,22,159,1,Car,7,0.332,48,Golf,Pop,November,Fall,No,No,Desserts,Water,Science,7,8,5,In person,35,7,14,12,0,7,7,0,A lot,Telepathy,Happy
2013,Female,18,Right,157.5,32,154,1,Bus,30,0.495,44,Walking/Hiking,Rap/Hip hop,January,Spring,No,No,Rice/Noodle dishes,Water,Other,8,8,3,Text,200,50,5,3,0,5,25,15,Some,Fly,Happy
2019,Female,17,Right,162.7,23.7,,1,Car,10,0.32,44,Tennis,Rap/Hip hop,April,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,12,3,Text,30,5,2,12,2,4,5,0,Very little,Fly,Happy
2014,Male,17,Right,177,25,185,2,Car,7,0.39,50,Basketball,Techno/Electronic,February,Summer,No,No,Meat,Water,Social studies,8,9.5,3,In person,10,6,6,14,0,2,4,0,Some,Invisibility,Happy
2017,Male,17,Right,173,27,182,2,Bus,5,0.453,46,Martial Arts,Techno/Electronic,October,Fall,No,No,Seafood,Juice,English,4,6,4,Text,16,15,2,1,72,72,1,0,Very little,Telepathy,Famous
2019,Female,17,Left,161.9,23,161,1,Car,7,0.373,40,Other,Classical,May,Winter,No,No,Pizza/Pasta,Water,Music,5,7,5,Phone,20,20,80,40,20,10,3,5,A lot,Freeze time,Happy
2015,Female,18,Right,160,23,160,2,Bus,30,0.539,42,Soccer,Pop,March,Spring,Yes,No,Fruit,Water,Mathematics and statistics,4,6,11,Text,20,0,1,4,0,2,2,25,Very little,Freeze time,Healthy
2016,Female,17,Right,168,24,170,1,Car,8,,,Tennis,Pop,December,Spring,Yes,No,Pizza/Pasta,Milk,Mathematics and statistics,7,9,8,Text,100,6,15,2,0,2,4,20,Some,Telepathy,Happy
2018,Male,17,Right,178,26,179.5,1,Car,20,0.377,55,Martial Arts,Techno/Electronic,September,Spring,No,No,Poultry,Milk,Mathematics and statistics,8,9,4,Text,2,2,1,10,0,6,0,0,Some,Super strength,Rich
2016,Female,17,Right,165.1,20.32,157.5,1,Car,13,0.285,,Soccer,Rock and roll,November,Fall,No,No,Meat,Water,Social studies,8,9,5,Text,30,11,6,9,0.5,4,7,3,Some,Freeze time,Happy
2019,Female,21,Right,165,24.6,165,1,Walk,20,0.369,38,Rowing,Country,November,Summer,No,No,Breads/Sandwiches,Water,Music,3,6,4,Text,30,30,55,25,0,17,2,6,A lot,Fly,Happy
2016,Female,17,Right,154,20,138,1,Car,5,0.288,43,Other,Rap/Hip hop,October,Fall,No,No,No favorite,Juice,Science,8,12,4,Text,88,25,0,0,0,0,9,20,A lot,Telepathy,Happy
2019,Female,17,Right,168,23,167,1,Bus,6,0.46,34,Other,Other,March,Fall,Yes,No,Fruit,Water,History,5,8,7,Text,7,20,20,10,0,40,0,15,A lot,Freeze time,Rich
2017,Female,17,Right,167.3,25,185,1,Car,17,0.7,38,Walking/Hiking,Rhythm and blues (R&B),March,Fall,Yes,No,Rice/Noodle dishes,Water,English,5,12,2,Text,45,8,6,1,0,15,3,0,Some,Super strength,Healthy
2018,Male,16,Left,164,22,163,1,Bus,10,0.289,37,Walking/Hiking,Other,January,Summer,Yes,No,Meat,Water,Mathematics and statistics,5,14,4,App,10,10,25,1,5,70,0,10,Very little,Invisibility,Rich
2018,Female,17,Right,180,25,,1,Car,15,0.588,46,Running/Jogging,Other,February,Spring,Yes,Yes,Rice/Noodle dishes,Water,Social studies,7,8,2,Text,17,4,8,4,0,16,5,16,Some,Freeze time,Healthy
2016,Female,17,Right,152.4,25,169,1,Car,6,,,Dancing,Rhythm and blues (R&B),May,Fall,Yes,No,Pizza/Pasta,Water,Art,7,9,4,Text,150,8,1,1,2,25,10,0,Very little,Telepathy,Happy
2017,Female,18,Right,156,23,154.5,1,Bus,21,0.355,54,Walking/Hiking,Heavy metal,August,Fall,Yes,No,Pizza/Pasta,Milk,Mathematics and statistics,6,9,5,Text,100,20,5,0,0,50,6,0,None,Fly,Rich
2010,Male,18,Both,180,,181,1,Car,7,,,Martial Arts,Country,November,Fall,Yes,No,Salads,Soft drink (non-caffeinated),Mathematics and statistics,8,8,8,App,100,10,12,9,3,34,10,21,A lot,Invisibility,Rich
2018,Female,15,Right,164,,164,4,Bus,10,0.534,46,Other,Other,February,Summer,Yes,No,Other,Water,Science,7,10,4,App,100,2,10,0,0,15,11,0,A lot,Invisibility,Rich
2018,Female,17,Right,162,23,156,1,Bus,15,0.398,37,None,Punk rock,April,Fall,No,No,Poultry,Water,Mathematics and statistics,6,9,3,Text,10,3,5,1,0,5,4,0,Some,Fly,Happy
2015,Male,16,Right,185,30,188,1,Car,15,,31,Swimming,Other,June,Spring,No,No,Meat,Tea,Computers and technology,5,9,4,App,20,2,5,10,30,60,3,12,Some,Fly,Happy
2012,Female,17,Left,155,23,,2,Bus,20,,69,Tennis,Pop,February,Summer,No,No,Pizza/Pasta,Juice,History,8,12,3,In person,20,4,5,10,0,12,2,17,Some,Telepathy,Happy
2018,Female,17,Right,169,23,164,1,Car,9,0.615,45,Other,Rap/Hip hop,January,Fall,Yes,No,Pizza/Pasta,Water,Science,7.5,8,5,In person,19,0,10,6,0,0,3,1,A lot,Fly,Healthy
2012,Male,17,Right,175.3,24.4,175.2,2,Car,6,0.19,45,Football (American),Country,October,Summer,No,No,Pizza/Pasta,Water,Mathematics and statistics,8,11,5,In person,50,7,8,15,2,7,7,2,Some,Freeze time,Happy
2018,Female,17,Left,173,25,173,1,Car,20,0.475,39,Other,Other,June,Summer,Yes,No,Meat,Water,Science,7,9,4,Text,138,10,20,2,0,7,6,2,A lot,Fly,Happy
2016,Male,18,Left,167,28.6,160,1,Car,5,0.233,34,Bowling,Pop,April,Summer,No,No,Pizza/Pasta,Tea,Computers and technology,7,8,3,Text,40,3,1,2,20,50,2,16,Very little,Invisibility,Rich
2017,Male,18,Left,185,28,194,1,Car,15,0.365,72,Baseball/Softball,Rap/Hip hop,August,Spring,No,No,Meat,Water,Mathematics and statistics,7,9,4,Text,350,3,10,15,10,25,3,28,Some,Invisibility,Rich
2010,Female,17,Right,157,25,161,1,Car,10,0.453,37,Soccer,Pop,May,Winter,Yes,No,Poultry,Tea,History,7,10,3,Text,100,12,3,9,2,4,6,0,Some,Fly,Healthy
