Name,Salary,Team,POS
Chris Bassitt,0.565,OAK ,RP
Brock Stewart,0.565,LAD ,RP
Robert Stephenson,0.565,CIN ,SP
Alex Reyes,0.565,STL ,SP
Freddy Peralta,0.565,MIL ,SP
Jordan Luplow,0.565,CLE ,OF
Koda Glover,0.564,WSH ,RP
Ryne Stanek,0.564,TB ,RP
Drew Robinson,0.564,STL ,3B
Marco Hernandez,0.564,BOS ,3B
Seranthony Dominguez,0.564,PHI ,RP
Jacob Stallings,0.564,PIT ,C
Tyler O'Neill,0.564,STL ,OF
Randy Rosario,0.564,CHC ,RP
Adam Cimber,0.564,CLE ,RP
Taylor Williams,0.564,MIL ,RP
Mike Mayers,0.564,STL ,RP
Pedro Severino,0.564,BAL ,C
David Hess,0.564,BAL ,SP
Keynan Middleton,0.564,LAA ,RP
Ryan Yarbrough,0.563,TB ,SP
Phil Maton,0.563,SD ,RP
Corbin Burnes,0.563,MIL ,SP
Dalton Pompey,0.563,TOR ,OF
Eric Lauer,0.563,SD ,SP
Wander Suero,0.563,WSH ,RP
Willy Adames,0.562,TB ,SS
Chasen Bradford,0.562,SEA ,RP
Jorge Lopez,0.562,KC ,SP
Jack Flaherty,0.562,STL ,SP
Renato Nunez,0.562,BAL ,3B
Yairo Munoz,0.562,STL ,SS
Richard Urena,0.562,TOR ,SS
Yonny Chirinos,0.562,TB ,SP
David Bote,0.562,CHC ,3B
David Fletcher,0.562,LAA ,SS
Justin Anderson,0.562,LAA ,RP
Diego Castillo,0.562,TB ,RP
J.D. Davis,0.561,NYM ,3B
Brandon Woodruff,0.561,MIL ,SP
Dereck Rodriguez,0.561,SF ,SP
Bradley Zimmer,0.561,CLE ,CF
Socrates Brito,0.561,SD ,RF
Tyler Olson,0.561,CLE ,RP
Adam Kolarek,0.561,TB ,RP
Jake Bauers,0.560,CLE ,LF
Greg Allen,0.560,CLE ,OF
Miguel Diaz,0.560,SD ,RP
Wilmer Font,0.560,TB ,RP
Jose Castillo,0.560,SD ,RP
Franchy Cordero,0.560,SD ,CF
Dwight Smith Jr.,0.560,BAL ,OF
Thomas Pannone,0.560,TOR ,RP
Ronald Acuna Jr.,0.560,ATL ,LF
Carson Kelly,0.560,ARI ,C
David Dahl,0.560,COL ,LF
Ryan McMahon,0.560,COL ,2B
Raimel Tapia,0.560,COL ,OF
Antonio Senzatela,0.560,COL ,SP
Jose Rondon,0.560,CWS ,SS
Alex Verdugo,0.560,LAD ,OF
Caleb Ferguson,0.560,LAD ,RP
JT Riddle,0.560,MIA ,SS
Rosell Herrera,0.560,MIA ,OF
Willians Astudillo,0.560,MIN ,C
Adalberto Mejia,0.560,MIN ,RP
Matt Magill,0.560,MIN ,RP
Gabriel Moya,0.560,MIN ,RP
Daniel Gossett,0.560,OAK ,SP
Frankie Montas,0.560,OAK ,SP
Aaron Brooks,0.560,OAK ,SP
Robert Stock,0.560,SD ,RP
Christian Walker,0.560,ARI ,1B
Shane Bieber,0.560,CLE ,SP
Billy McKinney,0.559,TOR ,OF
Dominic Smith,0.559,NYM ,1B
Nick Rumbelow,0.559,SEA ,RP
Shawn Armstrong,0.559,SEA ,RP
Dakota Hudson,0.559,STL ,SP
Victor Alcantara,0.559,DET ,RP
Andrew Stevenson,0.559,WSH ,OF
Paul Fry,0.559,BAL ,RP
Jimmy Yacabonis,0.559,BAL ,RP
Manny Banuelos,0.559,CWS ,RP
Roman Quinn,0.559,PHI ,OF
Nick Burdi,0.559,PIT ,RP
Danny Jansen,0.559,TOR ,C
Grayson Greiner,0.559,DET ,C
Daniel Vogelbach,0.559,SEA ,1B
Rio Ruiz,0.559,BAL ,3B
Sam Travis,0.559,BOS ,1B
David Freitas,0.559,SEA ,C
Bobby Wahl,0.558,MIL ,RP
Yandy Diaz,0.558,TB ,3B
Steven Duggar,0.558,SF ,CF
Austin Wynns,0.558,BAL ,C
Jose De Leon,0.558,TB ,RP
Yohander Mendez,0.558,TEX ,SP
Luke Farrell,0.558,TEX ,RP
Victor Robles,0.558,WSH ,CF
Ryan O'Hearn,0.558,KC ,1B
Cedric Mullins,0.558,BAL ,CF
Kyle Farmer,0.558,CIN ,C
Alex Blandino,0.558,CIN ,3B
Taylor Cole,0.558,LAA ,RP
Drew Smith,0.558,NYM ,RP
Nick Martini,0.558,OAK ,OF
Lou Trivino,0.558,OAK ,RP
J.B. Wendelken,0.558,OAK ,RP
Ramon Laureano,0.558,OAK ,CF
Kevin Newman,0.558,PIT ,SS
Michael Reed,0.558,SF ,RF
Austin Meadows,0.557,TB ,RF
Stephen Tarpley,0.557,NYY ,RP
Ty Buttrey,0.557,LAA ,RP
Trey Wingenter,0.557,SD ,RP
Cam Gallagher,0.557,KC ,C
Pedro Araujo,0.557,BAL ,RP
Colten Brewer,0.557,BOS ,RP
Garrett Hampson,0.557,COL ,2B
DJ Johnson,0.557,COL ,RP
Harrison Musgrave,0.557,COL ,RP
Mike Tauchman,0.557,NYY ,OF
Jeffrey Springs,0.557,TEX ,RP
Yoan Lopez,0.557,ARI ,RP
Jacob Nix,0.557,SD ,SP
Anthony Banda,0.557,TB ,SP
Michael Perez,0.557,TB ,C
Mark Zagunis,0.557,CHC ,RF
Caleb Smith,0.557,MIA ,SP
Jalen Beeks,0.557,TB ,RP
Jonathan Davis,0.557,TOR ,OF
Michael Hermosillo,0.557,LAA ,OF
Christin Stewart,0.556,DET ,LF
Francisco Mejia,0.556,SD ,C
Tomas Nido,0.556,NYM ,C
Spencer Turnbull,0.556,DET ,SP
Ryan Burr,0.556,CWS ,RP
Ian Hamilton,0.556,CWS ,RP
Brett Kennedy,0.556,SD ,SP
Luis Guillorme,0.556,NYM ,2B
Jon Edwards,0.556,CLE ,RP
John Means,0.556,BAL ,RP
Matt Festa,0.556,SEA ,RP
Trevor Oaks,0.555,KC ,RP
Gerson Bautista,0.555,SEA ,RP
Justin Williams,0.555,STL ,OF
Troy Tulowitzki,0.555,NYY ,SS
Jordan Hicks,0.555,STL ,RP
Chris Paddack,0.555,SD ,SP
Richie Martin,0.555,BAL ,SS
Michael Kopech,0.555,CWS ,SP
Drew Jackson,0.555,BAL ,SS
Eric Stamets,0.555,CLE ,SS
Caleb Frare,0.555,CWS ,RP
Kyle Zimmer,0.555,KC ,RP
Chris Ellis,0.555,KC ,RP
Ben Heller,0.555,NYY ,RP
Garrett Cooper,0.555,MIA ,RF
Chad Wallach,0.555,MIA ,C
Pablo Lopez,0.555,MIA ,SP
Sandy Alcantara,0.555,MIA ,SP
Tyler Kinley,0.555,MIA ,RP
Nick Anderson,0.555,MIA ,RP
Austin Brice,0.555,MIA ,RP
Julian Fernandez,0.555,MIA ,RP
Riley Ferrell,0.555,MIA ,RP
Reed Garrett,0.555,DET ,RP
Gregory Soto,0.555,DET ,RP
Travis Bergen,0.555,SF ,RP
Connor Joe,0.555,SF ,3B
Scott Heineman,0.555,TEX ,OF
Trent Thornton,0.555,TOR ,SP
Elvis Luciano,0.555,TOR ,RP
Kyle Dowdy,0.555,TEX ,RP
Ryan Cordell,0.555,CWS ,OF
Kyle Bird,0.555,TEX ,RP
Javy Guerra,0.555,TOR ,RP
Fernando Tatis Jr.,0.555,SD ,SS
Dustin Peterson,0.555,DET ,OF
Pete Alonso,0.555,NYM ,1B
Tim Peterson,0.555,NYM ,RP
Jake Noll,0.555,WSH ,2B
Frank Schwindel,0.555,KC ,1B
Nick Vincent,0.555,SF ,RP
Rowdy Tellez,0.555,TOR ,1B
Ildemaro Vargas,0.555,ARI ,SS
Ryne Harper,0.555,MIN ,RP
