Country,Code,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,Energy,Electricity,Developed
Philippines,PHL,298.17,106.652,357.7,3103,53.1,1.05,0.86,5.44,7.1,153,60.1,110.4,0.1,13.7,7.1,23,6.5,4.9,69.2,47.7,2.5,474,696,1
Poland,POL,306.19,37.979,124,15424,39.9,7.52,1.07,4.76,11.04,191,76,132.2,,2.5,5.9,10.6,10.6,17.3,77.9,63.1,3.7,2473,3972,2
Portugal,PRT,91.6055957,10.282,112.2,23146,34.8,4.33,1.54,4.08,13.4,52,73.8,113.9,0.6,2.5,9.9,8.4,10.6,21.9,81.1,71.8,6.9,2035,4663,2
Puerto Rico,PRI,8.87,3.195,360.2,31651,6.4,,,,,,72.8,92.5,,,12.9,7.3,8.9,15.5,80,39.9,11.4,,,
Qatar,QAT,11.61,2.782,239.6,69026,0.9,43.86,0.4,,6.29,22,95.9,151.1,0.1,,16.5,10,1.6,1.4,78.3,59,0.1,17923,14782,3
Romania,ROU,230.08,19.474,84.6,12301,46,3.52,1.16,5.96,11.32,126,63.7,113.8,0.1,2.5,9.7,9.7,13.3,18.3,75.3,58.2,4.3,1592,2584,2
Russian Federation,RUS,16376.87,144.478,8.8,11289,25.6,11.86,0.59,11.4,8.23,1454,76,157.9,1.2,2.5,6.2,12.9,12.9,14.6,72.1,68.9,4.7,4943,6603,3
Rwanda,RWA,24.67,12.302,498.7,773,82.8,0.08,1.17,4.68,8.88,35,21.8,72.2,2.7,36.1,4.3,30.4,5.8,3.1,67.5,84.7,1,,,
Samoa,WSM,2.83,0.196,69.3,4392,81.8,1.03,0.91,,12.48,,33.6,63.2,,3.1,9.2,24.3,5,5.8,75.2,25.4,8.3,,,
San Marino,SMR,0.06,0.034,563.1,,2.8,,,,12.24,,60.2,113.8,,,5.6,,,,,,,,,
Sao Tome and Principe,STP,0.96,0.211,219.8,2001,27.2,0.58,,,7.45,,29.9,85.1,,10.2,2.4,33.4,6.6,2.8,66.8,45.2,13.3,,,
Saudi Arabia,SAU,2149.69,33.7,15.7,23219,16.2,19.44,0.24,24.59,10.06,252,82.1,122.1,,5.5,17.7,19.2,3.6,3.4,74.7,24.6,5.9,6906,9401,3
Senegal,SEN,192.53,15.854,82.3,1522,52.8,0.62,1.14,8.8,6.15,19,29.6,99.4,0.4,11.3,2.4,35,5.7,3,67.5,36.5,6.5,279,229,1
Serbia,SRB,87.46,6.982,79.8,7234,43.9,5.28,1.16,4.38,12.34,32,70.3,124,0.1,5.6,10.1,9.2,14.8,17.9,76.1,59.3,13.5,1859,4272,2
Seychelles,SYC,0.46,0.097,210.4,16434,43.3,5.42,,3.88,10.03,0,58.8,176.6,,,10.6,17.2,7.8,8.9,74.3,,,,,
Sierra Leone,SLE,72.18,7.65,106,523,57.9,0.19,1.08,3.15,7.91,9,13.2,87.7,1.4,25.5,2.4,34.4,12.5,2.5,52.2,59,4.3,,,
Singapore,SGP,0.709000015,5.639,7953,64582,0,10.31,1.25,17.09,13.56,81,84.4,146.8,0.2,,11,8.9,5,13.6,82.9,69.1,3.8,5122,8845,3
Sint Maarten (Dutch part),SXM,,0.041,,,0,19.46,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,48.08,5.447,113.3,19547,46.3,5.66,1.32,3.01,13.71,16,81.6,130.7,0.1,2.7,7.3,10.7,9.9,15.6,77.2,66.4,6.8,2943,5137,3
Slovenia,SVN,20.14199951,2.067,102.6,26234,45.5,6.21,1.32,2.48,13.52,7,78.9,117.5,0.1,2.5,7.3,9.8,9.9,19.7,81.2,71.4,5.5,3236,6728,3
Solomon Islands,SLB,27.99,0.653,23.3,2163,76.3,0.34,,,8.04,,11.9,76.1,,12.3,18.7,28.2,4.7,3.5,71,63.4,1.8,,,
Somalia,SOM,627.34,15.008,23.9,499,55,0.05,1.41,,,20,2,48.3,0.1,,6.1,43.1,11.1,2.7,56.7,19.8,14,,,
South Africa,ZAF,1213.09,57.78,47.6,6340,33.6,8.98,0.92,2.95,13.32,80,56.2,156,18.8,6.1,5.5,20.7,9.6,5.5,63.4,53.4,27,2695,4198,2
South Sudan,SSD,,10.976,,,80.4,0.14,0.28,3.36,,185,8,22.2,2.4,,10.4,35.6,10.7,3.4,57.3,73.9,12.7,66,44,1
Spain,ESP,499.5639844,46.724,93.5,30524,19.7,5.03,1.26,3.09,15.14,196,84.6,113.3,0.4,2.5,7.2,8.4,9,19.7,83.3,68.8,15.5,2465,5356,3
Sri Lanka,LKA,62.71,21.67,345.6,4102,81.5,0.89,0.88,10.14,8.56,317,34.1,135.1,0.1,10.9,10.7,15,7,10.4,75.5,38.2,4.4,516,531,1
St. Kitts and Nevis,KNA,0.26,0.052,201.7,19829,69.2,4.55,,,8.15,,80.7,138.9,,,12.8,,,,,,,,,
St. Lucia,LCA,0.61,0.182,298.2,10315,81.3,2.28,,,8.46,,50.8,98.8,,,11.6,12,7.5,9.9,75.7,67.8,20.9,,,
St. Martin (French part),MAF,,0.037,,,,,,,,,,,,,,14.9,4.3,,79.7,,,,,
St. Vincent and the Grenadines,VCT,0.39,0.11,282.6,7378,47.8,1.92,,,9.56,,65.6,105.4,,5.7,11.6,15.2,7.3,8,73.3,63.5,19.8,,,
Sudan,SDN,,41.802,,977,65.4,0.3,0.95,11.54,10.73,124,30.9,70.7,0.2,25.2,15.7,32.6,7.4,3.6,64.7,25.2,12.9,381,190,1
Suriname,SUR,,0.576,3.7,5950,33.9,3.6,,,16.58,2,48.9,141.3,1.3,7.6,12.5,18,7.4,7.1,71.5,43.6,7.6,1247,3597,2
Sweden,SWE,407.31,10.183,25,54112,12.6,4.48,1.42,2.15,18.47,30,96.4,126.3,,2.5,4.8,11.5,9.1,20.1,82.3,81,6.4,4966,13480,3
Switzerland,CHE,39.51600098,8.517,215.5,82839,26.2,4.31,1.45,2.07,22.4,21,93.7,130.8,,2.5,5.6,10.3,7.9,18.6,83.6,79.5,4.9,3060,7520,3
Syrian Arab Republic,SYR,183.63,16.906,92.1,,45.8,1.64,,,,239,34.3,84.2,,,8.2,20.9,5.4,4.5,71,12.9,8.1,577,974,1
Tajikistan,TJK,138.79,9.101,65.6,827,72.9,0.63,0.71,,5.04,17,22,111,0.3,,7.1,28.3,5.1,3.6,71.2,29.3,10.9,340,1499,1
Tanzania,TZA,885.8,56.318,63.6,1051,66.2,0.23,0.87,6.91,9.52,28,16,69.7,4.5,32,5.8,37.8,6.5,3.1,66.3,81,1.9,497,104,1
Thailand,THA,510.89,69.429,135.9,7274,50.1,4.62,0.71,6.34,15.26,455,52.9,176,1.1,9,7,10.1,8,11.8,75.5,67.2,0.7,1969,2539,2
Timor-Leste,TLS,14.87,1.268,85.3,2036,69.4,0.4,1.1,1.41,3.22,2,27.5,120.1,,27.2,6.9,34.6,5.4,3.6,69.2,25.6,3,,,
Togo,TGO,54.39,7.889,145,672,58.3,0.37,0.71,7.11,4.25,10,12.4,77.8,2.1,16.2,6.2,33.5,8.6,2.9,60.5,77.7,1.7,462,155,1
Tonga,TON,0.72,0.103,143.3,4364,76.9,1.2,,,8.04,,41.2,99.9,,,15.4,23.6,6,5.8,73.2,47.4,1,,,
Trinidad and Tobago,TTO,5.13,1.39,270.9,16844,46.8,33.97,0.54,2.41,9.66,4,77.3,148.3,1.1,4.9,11,13.3,9.7,10.3,70.8,58,2.8,14364,7093,3
Tunisia,TUN,155.36,11.565,74.4,3447,31.1,2.61,0.73,6.89,13.72,48,55.5,124.3,0.1,4.9,8.5,17.9,6.3,8.3,75.9,27.1,15.5,950,1455,1
Turkey,TUR,769.63,82.32,107,9311,24.9,4.48,1.42,7.1,9.65,512,64.7,96.4,,2.5,12.1,16,5.8,8.4,76,37.5,10.9,1574,2847,2
Turkmenistan,TKM,469.93,5.851,12.5,6967,48.4,12.52,0.29,,8.71,42,21.3,162.8,,5.5,7.1,24.6,7.1,4.4,68,56.3,3.8,4893,2679,2
Turks and Caicos Islands,TCA,0.95,0.038,39.6,27142,6.9,5.81,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,0.03,0.012,383.6,3701,37.6,1,,,9.01,,49.3,71.5,,,27.3,,,,,,,,,
Uganda,UGA,200.52,42.723,213.1,643,76.2,0.14,0.94,7.08,5.14,46,23.7,58.2,5.9,41.4,2.5,41.7,8.5,2.2,60.2,68.5,1.7,,,
Ukraine,UKR,579.29,44.623,77,3095,30.6,5.02,0.83,8.71,7.03,297,57.1,133.5,0.9,3.3,7.1,9.4,14.5,16.8,71.8,60.5,9.4,2334,3419,2
United Arab Emirates,ARE,71.02,9.631,135.6,43005,13.5,22.94,0.49,,7.89,63,94.8,210.9,,2.5,17.3,9.3,1.6,1.2,77.4,52,2.6,7648,11088,3
United Kingdom,GBR,241.93,66.489,274.8,42491,16.6,6.5,1.46,4.62,18.88,148,94.6,119.5,,2.5,4.3,11.4,9.2,18.7,81.2,72.8,4,2777,5130,3
United States,USA,9147.42,327.167,35.8,62641,17.7,16.5,0.71,9.01,39.46,1359,75.2,120.7,,2.5,10.8,11.8,8.5,15.8,78.5,66.8,3.9,6961,12994,3
Uruguay,URY,175.02,3.449,19.7,17278,4.7,1.98,1.5,5.76,19.49,22,68.3,147.5,0.6,2.5,6.9,13.9,9.4,14.8,77.6,68.4,8,1386,3085,2
Uzbekistan,UZB,425.4,32.955,77.5,1532,49.5,3.42,1.03,,9.2,68,52.3,76,0.3,7.4,7.6,22.1,5,4.6,71.4,57,5.2,,1645,1
Vanuatu,VUT,12.19,0.293,24,3033,74.7,0.58,1.31,,5.39,,25.7,82.5,,7.1,12,25.5,4.8,4.5,72.3,62.4,5.4,,,
"Venezuela, RB",VEN,882.05,28.87,32.7,,11.8,6.16,,,1.86,343,64.3,78.5,,11.7,6.5,18.7,5.7,6.8,74.7,52,8.4,,2719,2
Vietnam,VNM,310.07,95.54,308.1,2564,64.1,1.82,0.8,8.1,8.95,522,49.6,125.6,0.3,10.8,6,16.5,5.8,7.4,76.5,79.1,1.9,,1424,1
Virgin Islands (U.S.),VIR,0.35,0.107,305.6,,4.3,,,,,,64.4,,,,12.3,12.8,7.8,19.1,79.4,64.6,8.4,,,
West Bank and Gaza,PSE,6.02,4.569,759,3199,23.8,,1.54,,,,65.2,81.2,,,10.6,31.4,3.5,3.1,73.6,20.3,30.2,,,
"Yemen, Rep.",YEM,527.97,28.499,54,944,63.4,0.88,0.92,,0,40,26.7,54.4,,34.4,5.4,31,6.4,2.9,65.2,6.2,12.9,,220,1
Zambia,ZMB,743.39,17.352,23.3,1540,56.5,0.29,1.4,5.66,7.13,16,27.9,78.6,11.5,44.5,3.9,37.8,7.6,2.5,62.3,71.7,7.2,,717,1
Zimbabwe,ZWE,386.85,14.439,37.3,2147,67.8,0.88,1.34,5.61,14.51,51,27.1,85.3,13.3,46.6,1.8,32.3,7.9,2.8,61.7,79.5,4.9,,609,1
